SEQN,RIDAGEYR,RIDRETH3
94399,62,2
94400,6,3
94401,57,3
94402,10,3
94403,7,3
94404,80,3
94405,39,3
94406,34,4
94407,76,3
94408,72,3
94409,23,2
94410,80,4
94411,13,4
94412,80,1
94413,16,7
94414,32,4
94415,37,2
94416,28,3
94417,3,3
94418,76,3
94419,10,4
94420,80,3
94421,75,6
94422,2,3
94423,18,6
94424,75,4
94425,75,3
94426,0,1
94427,49,6
94428,60,2
94429,61,4
94430,25,7
94431,47,3
94432,71,1
94433,46,4
94434,26,6
94435,1,4
94436,31,4
94437,1,4
94438,80,2
94439,7,6
94440,0,7
94441,12,7
94442,60,3
94443,32,1
94444,78,4
94445,53,3
94446,28,2
94447,15,4
94448,41,3
94449,1,3
94450,30,1
94451,4,3
94452,58,3
94453,20,3
94454,1,2
94455,10,1
94456,16,3
94457,46,3
94458,56,6
94459,52,4
94460,61,4
94461,19,1
94462,12,2
94463,26,4
94464,77,3
94465,31,7
94466,1,6
94467,18,6
94468,0,4
94469,37,7
94470,64,3
94471,42,2
94472,5,7
94473,73,3
94474,55,3
94475,26,1
94476,55,3
94477,58,4
94478,37,4
94479,64,3
94480,6,1
94481,31,7
94482,13,4
94483,74,7
94484,5,4
94485,0,7
94486,44,4
94487,29,4
94488,38,2
94489,4,1
94490,64,3
94491,19,4
94492,6,6
94493,63,1
94494,10,3
94495,4,7
94496,3,3
94497,45,7
94498,11,7
94499,62,4
94500,60,4
94501,41,6
94502,15,6
94503,52,4
94504,28,4
94505,7,1
94506,69,4
94507,34,4
94508,34,4
94509,53,3
94510,49,3
94511,7,4
94512,43,1
94513,2,3
94514,8,6
94515,58,2
94516,19,4
94517,19,6
94518,0,3
94519,59,3
94520,7,1
94521,0,1
94522,60,4
94523,65,4
94524,11,4
94525,66,3
94526,37,4
94527,36,1
94528,34,6
94529,58,4
94530,22,4
94531,34,1
94532,36,1
94533,17,3
94534,80,3
94535,80,3
94536,13,4
94537,11,2
94538,42,6
94539,55,3
94540,10,4
94541,79,4
94542,30,4
94543,12,4
94544,17,3
94545,18,6
94546,19,7
94547,67,4
94548,4,4
94549,80,3
94550,17,7
94551,2,1
94552,56,6
94553,72,3
94554,69,1
94555,19,1
94556,7,3
94557,35,4
94558,62,1
94559,41,1
94560,24,3
94561,5,1
94562,16,3
94563,8,3
94564,80,2
94565,45,2
94566,43,3
94567,16,4
94568,60,1
94569,27,3
94570,48,3
94571,80,3
94572,14,4
94573,62,1
94574,18,4
94575,80,3
94576,33,1
94577,30,3
94578,71,3
94579,52,4
94580,5,1
94581,80,3
94582,1,1
94583,80,3
94584,10,7
94585,8,3
94586,74,3
94587,19,3
94588,7,3
94589,33,3
94590,65,2
94591,42,3
94592,0,3
94593,0,4
94594,42,4
94595,28,6
94596,45,3
94597,5,1
94598,46,3
94599,4,3
94600,77,3
94601,15,3
94602,2,3
94603,5,4
94604,6,7
94605,42,4
94606,57,3
94607,38,3
94608,24,1
94609,70,6
94610,16,6
94611,11,1
94612,9,4
94613,13,3
94614,66,2
94615,47,2
94616,62,1
94617,4,3
94618,49,3
94619,61,4
94620,0,7
94621,9,6
94622,4,3
94623,48,3
94624,38,6
94625,22,4
94626,15,7
94627,59,2
94628,2,4
94629,2,3
94630,15,4
94631,21,4
94632,70,3
94633,68,3
94634,80,3
94635,3,4
94636,8,1
94637,5,1
94638,35,4
94639,4,1
94640,55,6
94641,70,6
94642,62,3
94643,4,7
94644,24,3
94645,3,3
94646,3,4
94647,38,6
94648,45,6
94649,67,3
94650,65,4
94651,57,3
94652,74,3
94653,7,3
94654,61,3
94655,3,3
94656,7,3
94657,9,7
94658,8,4
94659,18,6
94660,40,1
94661,2,1
94662,0,3
94663,30,7
94664,41,6
94665,0,3
94666,38,4
94667,9,1
94668,7,3
94669,38,3
94670,60,4
94671,5,7
94672,29,3
94673,23,4
94674,17,3
94675,0,3
94676,67,4
94677,25,3
94678,58,3
94679,63,1
94680,1,3
94681,60,3
94682,0,3
94683,0,4
94684,38,3
94685,47,4
94686,33,3
94687,35,6
94688,61,3
94689,22,2
94690,2,3
94691,68,3
94692,3,3
94693,59,3
94694,30,2
94695,56,3
94696,43,3
94697,23,3
94698,59,4
94699,10,2
